Date,Adj Close,Monthly Returns,Average yearly return,Yearly Returns,,,
1/1/90,329.079987,,,,,,
2/1/90,331.890015,0.008539043,,0.107420562,,Monthly Returns =,Adj Close Now/Adj Close Previous -1
3/1/90,339.940002,0.024254984,,0.333205298,,Annualized Returns = ,(1+Monthly Returns)^12 -1
4/1/90,330.799988,-0.026887139,,-0.278961342,,Average yearly return = ,Average(Annualized Returns) for that year
5/1/90,361.230011,0.09198919,,1.87488231,,,
6/1/90,358.019989,-0.008886366,,-0.101575872,,,
7/1/90,356.149994,-0.005223158,,-0.060908309,,,
8/1/90,322.559998,-0.094314184,,-0.695399371,,,
9/1/90,306.049988,-0.051184307,,-0.467668325,,,
10/1/90,304,-0.006698213,,-0.077482525,,,
11/1/90,322.220001,0.059934214,,1.010698401,,,
12/1/90,330.220001,0.024827757,0.180580926,0.342179362,,,
1/1/91,343.929993,0.041517752,,0.629296475,,,
2/1/91,367.070007,0.067281175,,1.184470533,,,
3/1/91,375.220001,0.022202833,,0.301502367,,,
4/1/91,375.339996,0.000319799,,0.003844346,,,
5/1/91,389.829987,0.038604975,,0.575450566,,,
6/1/91,371.160004,-0.047892629,,-0.445079042,,,
7/1/91,387.809998,0.044859343,,0.693144276,,,
8/1/91,395.429993,0.019648784,,0.263011396,,,
9/1/91,387.859985,-0.019143738,,-0.207015988,,,
10/1/91,392.450012,0.011834237,,0.151628607,,,
11/1/91,375.220001,-0.043903709,,-0.41652856,,,
12/1/91,417.089996,0.111587855,0.441058727,2.558979747,,,
1/1/92,408.779999,-0.01992375,,-0.214550298,,,
2/1/92,412.700012,0.009589542,,0.121342077,,,
3/1/92,403.690002,-0.021831863,,-0.232705395,,,
4/1/92,414.950012,0.027892715,,0.391148382,,,
5/1/92,415.350006,0.000963957,,0.01162901,,,
6/1/92,408.140015,-0.017358832,,-0.189525304,,,
7/1/92,424.209991,0.039373684,,0.58950025,,,
8/1/92,414.029999,-0.02399753,,-0.252844495,,,
9/1/92,417.799988,0.009105594,,0.114908852,,,
10/1/92,418.679993,0.002106283,,0.025570265,,,
11/1/92,431.350006,0.030261807,,0.430115791,,,
12/1/92,435.709991,0.010107766,0.076904816,0.128268653,,,
1/1/93,438.779999,0.007045989,,0.087906698,,,
2/1/93,443.380005,0.010483627,,0.133316922,,,
3/1/93,451.670013,0.018697298,,0.24894079,,,
4/1/93,440.190002,-0.02541681,,-0.265778676,,,
5/1/93,450.190002,0.022717463,,0.309387102,,,
6/1/93,450.529999,0.00075523,,0.0091005,,,
7/1/93,448.130005,-0.005327046,,-0.062084503,,,
8/1/93,463.559998,0.034431957,,0.501146734,,,
9/1/93,458.929993,-0.00998793,,-0.113485443,,,
10/1/93,467.829987,0.019392923,,0.259213499,,,
11/1/93,461.790009,-0.012910626,,-0.144386317,,,
12/1/93,466.450012,0.010091173,0.090943631,0.128046266,,,
1/1/94,481.609985,0.032500745,,0.467859492,,,
2/1/94,467.140015,-0.030044996,,-0.306543768,,,
3/1/94,445.769989,-0.045746511,,-0.429881576,,,
4/1/94,450.910004,0.011530644,,0.147488994,,,
5/1/94,456.5,0.012397143,,0.159340301,,,
6/1/94,444.269989,-0.026790824,,-0.278104487,,,
7/1/94,458.26001,0.031489908,,0.450707305,,,
8/1/94,475.48999,0.037598699,,0.557230927,,,
9/1/94,462.709991,-0.026877535,,-0.278875948,,,
10/1/94,472.350006,0.020833816,,0.280738833,,,
11/1/94,453.690002,-0.039504613,,-0.383485347,,,
12/1/94,459.269989,0.012299118,0.045372393,0.157993983,,,
1/1/95,470.420013,0.024277711,,0.333560326,,,
2/1/95,487.390015,0.03607415,,0.529995161,,,
3/1/95,500.709991,0.027329193,,0.382023904,,,
4/1/95,514.710022,0.027960359,,0.392247374,,,
5/1/95,533.400024,0.036311712,,0.534210237,,,
6/1/95,544.75,0.021278544,,0.28745037,,,
7/1/95,562.059998,0.03177604,,0.455543748,,,
8/1/95,561.880005,-0.000320238,,-0.003836095,,,
9/1/95,584.409973,0.040097472,,0.602833799,,,
10/1/95,581.5,-0.004979335,,-0.058142489,,,
11/1/95,605.369995,0.041049003,,0.620518782,,,
