iteration,loss
0,0.7293
10000,0.6880367875099183
20000,0.5929786223173141
30000,0.5093028542399406
40000,0.4902868032455444
50000,0.4932
60000,0.4741610115766525
70000,0.4673336273431778
80000,0.45914400458335874
90000,0.44505130261182785
100000,0.4592
110000,0.4489332616329193
120000,0.45538692772388456
130000,0.44916273921728134
140000,0.4487628099322319
150000,0.3723
160000,0.44368657648563387
170000,0.44929256111383437
180000,0.4570224142074585
190000,0.4444280532002449
200000,0.4433
210000,0.4382027253508568
220000,0.4506833875179291
230000,0.4572915607690811
240000,0.4511652654409409
250000,0.4433
260000,0.4480706551671028
270000,0.4527415984869003
280000,0.4491630846261978
290000,0.44711619555950166
300000,0.4430
310000,0.45070930570364
320000,0.44946557402610776
330000,0.44794060438871386
340000,0.448770070374012
350000,0.3714
360000,0.4529043456912041
370000,0.4413365572690964
380000,0.45382269352674487
390000,0.44294181108474734
400000,0.4436

