threshold,fpr,tpr
1.0001,0.999999999997904,0.9999999999859155
2.0001,0.999999999997904,0.9999999999859155
3.0001,0.999999999997904,0.9999999999859155
4.0001,0.999999999997904,0.9999999999859155
5.0001,0.999999999997904,0.9999999999859155
6.0001,0.999999999997904,0.9999999999859155
7.0001,0.999999999997904,0.9999999999859155
8.0001,0.999999999997904,0.9999999999859155
9.0001,0.999999999997904,0.9999999999859155
10.0001,0.999999999997904,0.9999999999859155
11.0001,0.999999999997904,0.9999999999859155
12.0001,0.999999999997904,0.9999999999859155
13.0001,0.999999999997904,0.9999999999859155
14.0001,0.999999999997904,0.9999999999859155
15.0001,0.999999999997904,0.9999999999859155
16.0001,0.999999999997904,0.9999999999859155
17.0001,0.999999999997904,0.9999999999859155
18.0001,0.999999999997904,0.9999999999859155
19.0001,0.999999999997904,0.9999999999859155
20.0001,0.999999999997904,0.9999999999859155
21.0001,0.999999999997904,0.9999999999859155
22.0001,0.999999999997904,0.9999999999859155
23.0001,0.999999999997904,0.9999999999859155
24.0001,0.999999999997904,0.9999999999859155
25.0001,0.999999999997904,0.9999999999859155
26.0001,0.999999999997904,0.9999999999859155
27.0001,0.999999999997904,0.9999999999859155
28.0001,0.999999999997904,0.9999999999859155
29.0001,0.999999999997904,0.9999999999859155
30.0001,0.999999999997904,0.9999999999859155
31.0001,0.999999999997904,0.9999999999859155
32.0001,0.999999999997904,0.9999999999859155
33.0001,0.999999999997904,0.9999999999859155
34.0001,0.999999999997904,0.9999999999859155
35.0001,0.999999999997904,0.9999999999859155
36.0001,0.999999999997904,0.9999999999859155
37.0001,0.999999999997904,0.9999999999859155
38.0001,0.999999999997904,0.9999999999859155
39.0001,0.999999999997904,0.9999999999859155
40.0001,0.999999999997904,0.9999999999859155
41.0001,0.999999999997904,0.9999999999859155
42.0001,0.999999999997904,0.9999999999859155
43.0001,0.999999999997904,0.9999999999859155
44.0001,0.999999999997904,0.9999999999859155
45.0001,0.999999999997904,0.9999999999859155
46.0001,0.999999999997904,0.9999999999859155
47.0001,0.999999999997904,0.9999999999859155
48.0001,0.999999999997904,0.9999999999859155
49.0001,0.999999999997904,0.9999999999859155
50.0001,0.999999999997904,0.9999999999859155
51.0001,0.999999999997904,0.9999999999859155
52.0001,0.999999999997904,0.9999999999859155
53.0001,0.999999999997904,0.9999999999859155
54.0001,0.999999999997904,0.9999999999859155
55.0001,0.999999999997904,0.9999999999859155
56.0001,0.999999999997904,0.9999999999859155
57.0001,0.999999999997904,0.9999999999859155
58.0001,0.999999999997904,0.9999999999859155
59.0001,0.999999999997904,0.9999999999859155
60.0001,0.999999999997904,0.9999999999859155
61.0001,0.999999999997904,0.9999999999859155
62.0001,0.999999999997904,0.9999999999859155
63.0001,0.999999999997904,0.9999999999859155
64.0001,0.999999999997904,0.9999999999859155
65.0001,0.999999999997904,0.9999999999859155
66.0001,0.999999999997904,0.9999999999859155
67.0001,0.999999999997904,0.9999999999859155
68.0001,0.999999999997904,0.9999999999859155
69.0001,0.999999999997904,0.9999999999859155
70.0001,0.999999999997904,0.9999999999859155
71.0001,0.999999999997904,0.9999999999859155
72.0001,0.999999999997904,0.9999999999859155
73.0001,0.999999999997904,0.9999999999859155
74.0001,0.999999999997904,0.9999999999859155
75.0001,0.999999999997904,0.9999999999859155
76.0001,0.999999999997904,0.9999999999859155
77.0001,0.999999999997904,0.9999999999859155
78.0001,0.999999999997904,0.9999999999859155
79.0001,0.999999999997904,0.9999999999859155
80.0001,0.999999999997904,0.9999999999859155
81.0001,0.999999999997904,0.9999999999859155
82.0001,0.999999999997904,0.9999999999859155
83.0001,0.999999999997904,0.9999999999859155
84.0001,0.999999999997904,0.9999999999859155
85.0001,0.999999999997904,0.9999999999859155
86.0001,0.999999999997904,0.9999999999859155
87.0001,0.999999999997904,0.9999999999859155
88.0001,0.999999999997904,0.9999999999859155
89.0001,0.999999999997904,0.9999999999859155
90.0001,0.999999999997904,0.9999999999859155
91.0001,0.999999999997904,0.9999999999859155
92.0001,0.999999999997904,0.9999999999859155
93.0001,0.999999999997904,0.9999999999859155
94.0001,0.999999999997904,0.9999999999859155
95.0001,0.999999999997904,0.9999999999859155
96.0001,0.999999999997904,0.9999999999859155
97.0001,0.999999999997904,0.9999999999859155
98.0001,0.999999999997904,0.9999999999859155
99.0001,0.999999999997904,0.9999999999859155
100.0001,0.999999999997904,0.9999999999859155
101.0001,0.999999999997904,0.9999999999859155
102.0001,0.999999999997904,0.9999999999859155
103.0001,0.999999999997904,0.9999999999859155
104.0001,0.999999999997904,0.9999999999859155
105.0001,0.999999999997904,0.9999999999859155
106.0001,0.999999999997904,0.9999999999859155
107.0001,0.999999999997904,0.9999999999859155
108.0001,0.999999999997904,0.9999999999859155
109.0001,0.999999999997904,0.9999999999859155
110.0001,0.999999999997904,0.9999999999859155
111.0001,0.999999999997904,0.9999999999859155
112.0001,0.999999999997904,0.9999999999859155
113.0001,0.999999999997904,0.9999999999859155
114.0001,0.999999999997904,0.9999999999859155
115.0001,0.999999999997904,0.9999999999859155
116.0001,0.999999999997904,0.9999999999859155
117.0001,0.999999999997904,0.9999999999859155
118.0001,0.999999999997904,0.9999999999859155
119.0001,0.999999999997904,0.9999999999859155
120.0001,0.999999999997904,0.9999999999859155
121.0001,0.999999999997904,0.9999999999859155
122.0001,0.999999999997904,0.9999999999859155
123.0001,0.999999999997904,0.9999999999859155
124.0001,0.999999999997904,0.9999999999859155
125.0001,0.999999999997904,0.9999999999859155
126.0001,0.999999999997904,0.9999999999859155
