iteration,loss
0,Variable containing:
 0.6931
[torch.FloatTensor of size 1]

10000,0.6931465864181519
20000,0.6931465864181519
30000,0.6931465864181519
40000,0.6931465864181519
50000,Variable containing:
 0.6931
[torch.FloatTensor of size 1]

60000,0.6931465864181519
70000,0.6931465864181519
80000,0.6931465864181519
90000,0.6931465864181519
100000,Variable containing:
 0.6931
[torch.FloatTensor of size 1]

110000,0.6931465864181519
120000,0.6931465864181519
130000,0.6931465864181519
140000,0.6931465864181519
150000,Variable containing:
 0.6931
[torch.FloatTensor of size 1]

160000,0.6931465864181519
170000,0.6931465864181519
180000,0.6931465864181519
190000,0.6931465864181519
200000,Variable containing:
 0.6931
[torch.FloatTensor of size 1]

210000,0.6931465864181519
220000,0.6931465864181519
230000,0.6931465864181519
240000,0.6931465864181519
250000,Variable containing:
 0.6931
[torch.FloatTensor of size 1]

260000,0.6931465864181519
270000,0.6931465864181519
280000,0.6931465864181519
290000,0.6931465864181519
300000,Variable containing:
 0.6931
[torch.FloatTensor of size 1]

310000,0.6622940838336945
320000,0.5718555986881256
330000,0.5308983233571053
340000,0.5062156063318253
350000,Variable containing:
 0.4553
[torch.FloatTensor of size 1]

360000,0.4873325198888779
370000,0.47650894075632094
380000,0.4545852968096733
390000,0.4494103121757507
400000,Variable containing:
 0.4155
[torch.FloatTensor of size 1]

