iteration,loss
0,Variable containing:
 0.6345
[torch.FloatTensor of size 1]

10000,0.6066012918949127
20000,0.5471244397759437
30000,0.49054369896650313
40000,0.4620777693390846
50000,Variable containing:
 0.3935
[torch.FloatTensor of size 1]

60000,0.45101039230823514
70000,0.44981502622365954
80000,0.4501859122514725
90000,0.43939595609903337
100000,Variable containing:
 0.4571
[torch.FloatTensor of size 1]

110000,0.44602610528469083
120000,0.44875362038612365
130000,0.4445637282729149
140000,0.44822142630815504
150000,Variable containing:
 0.5151
[torch.FloatTensor of size 1]

160000,0.443838407099247
170000,0.4479229137301445
180000,0.4493567192554474
190000,0.4451195514202118
200000,Variable containing:
 0.5151
[torch.FloatTensor of size 1]

210000,0.4482153916358948
220000,0.4403950974345207
230000,0.44604734003543856
240000,0.44931599229574204
250000,Variable containing:
 0.4576
[torch.FloatTensor of size 1]

260000,0.45395182400941847
270000,0.4404286763072014
280000,0.45032027751207354
290000,0.4448399797081947
300000,Variable containing:
 0.5009
[torch.FloatTensor of size 1]

310000,0.4479687860608101
320000,0.44976106435060503
330000,0.4449496161937714
340000,0.4429174521565437
350000,Variable containing:
 0.3846
[torch.FloatTensor of size 1]

360000,0.4417322477698326
370000,0.4503474107384682
380000,0.44394724786281586
390000,0.4501273646950722
400000,Variable containing:
 0.4578
[torch.FloatTensor of size 1]

