Year	Average
1990	0.695
1991	0.71
1992	0.75
1993	0.752
1994	0.761
1995	0.791
1996	0.876
1997	0.872
1998	0.86
1999	0.887
2000	0.93
2001	0.999
2002	1.016
2003	1.001
2004	0.969
2005	1.04
2006	1.081
2007	1.207
2008	1.366
2009	1.387
2010	1.373
2011	1.445
2012	1.418
2013	1.407
2014	1.401
